hs6,group,name,source
293721,API,"Cortisone, hydrocortisone, prednisone ""dehydrocortisone"" and prednisolone","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293722,API,Halogenated derivatives of corticosteroidal hormones,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293723,API,Oestrogens and progestogens,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293729,API,"Steroidal hormones, their derivatives and structural analogues, used primarily as hormones","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293750,API,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues,","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293790,API,"Hormones, natural or reproduced by synthesis; derivatives and structural analogues thereof","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293810,API,"Rutoside ""rutin"" and its derivatives","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293890,API,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other ","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293911,API,"Concentrates of poppy straw; buprenorphine (INN), codeine, dihydrocodeine (INN), ethylmorp","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293919,API,"Alkaloids of opium and their derivatives, and salts thereof (excl. concentrates of poppy s","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293920,API,Alkaloids of cinchona and their derivatives; salts thereof,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293930,API,Caffeine and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293941,API,Ephedrine and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293942,API,Pseudoephedrine (INN) and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293943,API,Cathine (INN) and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293944,API,Norephedrine and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293949,API,"Ephedrines and their salts (excl. ephedrine, pseudoephedrine (INN), cathine (INN), norephe","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293951,API,Fenetylline (INN) and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293959,API,"Theophylline and aminophylline ""theophylline-ethylenediamine"" and their derivatives, and s","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293961,API,Ergometrine (INN) and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293962,API,Ergotamine (INN) and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293963,API,Lysergic acid and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293969,API,"Alkaloids of rye ergot and their derivatives; salts thereof (excl. lysergic acid, ergotami","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293971,API,"Cocaine, ecgonine, levometamfetamine, metamfetamine (INN), metamfetamine racemate, and sal","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293979,API,"Vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293980,API,"Non-vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
294110,Antibiotics API,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
294120,Antibiotics API,Streptomycins and their derivatives; salts thereof,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
294130,Antibiotics API,Tetracyclines and their derivatives; salts thereof,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
294140,Antibiotics API,Chloramphenicol and its derivatives; salts thereof,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
294150,Antibiotics API,Erythromycin and its derivatives; salts thereof,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
294190,Antibiotics API,"Antibiotics (excl. penicillins and their derivatives with a penicillanic acid structure, s","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
294200,API,"Separate chemically defined organic compounds, n.e.s.","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
300190,API,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; hepari","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
300213,API,"Immunological products, unmixed, not put up in measured doses or in forms or packings for ","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
